WKT,gid,lon,lat
"POLYGON ((103.995592 1.367197,103.997092 1.367197,103.997842 1.365898,103.997092 1.364599,103.995592 1.364599,103.994842 1.365898,103.995592 1.367197))",1540174,103.996342000000000,1.365892000000000
"POLYGON ((104.000092 1.367197,104.001592 1.367197,104.002342 1.365898,104.001592 1.364599,104.000092 1.364599,103.999342 1.365898,104.000092 1.367197))",1540176,104.000842000000010,1.365892000000000
"POLYGON ((104.018092 1.374991,104.019592 1.374991,104.020342 1.373692,104.019592 1.372393,104.018092 1.372393,104.017342 1.373692,104.018092 1.374991))",1600184,104.018842000000010,1.373686000000000
"POLYGON ((104.004592 1.367197,104.006092 1.367197,104.006842 1.365898,104.006092 1.364599,104.004592 1.364599,104.003842 1.365898,104.004592 1.367197))",1540178,104.005342000000000,1.365892000000000
"POLYGON ((104.009092 1.367197,104.010592 1.367197,104.011342 1.365898,104.010592 1.364599,104.009092 1.364599,104.008342 1.365898,104.009092 1.367197))",1540180,104.009842000000010,1.365892000000000
"POLYGON ((104.013592 1.367197,104.015092 1.367197,104.015842 1.365898,104.015092 1.364599,104.013592 1.364599,104.012842 1.365898,104.013592 1.367197))",1540182,104.014342000000000,1.365892000000000
"POLYGON ((104.018092 1.367197,104.019592 1.367197,104.020342 1.365898,104.019592 1.364599,104.018092 1.364599,104.017342 1.365898,104.018092 1.367197))",1540184,104.018842000000010,1.365892000000000
"POLYGON ((104.022592 1.367197,104.024092 1.367197,104.024842 1.365898,104.024092 1.364599,104.022592 1.364599,104.021842 1.365898,104.022592 1.367197))",1540186,104.023342000000000,1.365892000000000
"POLYGON ((104.027092 1.367197,104.028592 1.367197,104.029342 1.365898,104.028592 1.364599,104.027092 1.364599,104.026342 1.365898,104.027092 1.367197))",1540188,104.027842000000010,1.365892000000000
"POLYGON ((104.022592 1.374991,104.024092 1.374991,104.024842 1.373692,104.024092 1.372393,104.022592 1.372393,104.021842 1.373692,104.022592 1.374991))",1600186,104.023342000000000,1.373686000000000
"POLYGON ((104.031592 1.367197,104.033092 1.367197,104.033842 1.365898,104.033092 1.364599,104.031592 1.364599,104.030842 1.365898,104.031592 1.367197))",1540190,104.032342000000000,1.365892000000000
"POLYGON ((104.036092 1.367197,104.037592 1.367197,104.038342 1.365898,104.037592 1.364599,104.036092 1.364599,104.035342 1.365898,104.036092 1.367197))",1540192,104.036841999999990,1.365892000000000
"POLYGON ((104.040592 1.367197,104.042092 1.367197,104.042842 1.365898,104.042092 1.364599,104.040592 1.364599,104.039842 1.365898,104.040592 1.367197))",1540194,104.041342000000000,1.365892000000000
"POLYGON ((104.045092 1.367197,104.046592 1.367197,104.047342 1.365898,104.046592 1.364599,104.045092 1.364599,104.044342 1.365898,104.045092 1.367197))",1540196,104.045841999999990,1.365892000000000
"POLYGON ((104.049592 1.367197,104.051092 1.367197,104.051842 1.365898,104.051092 1.364599,104.049592 1.364599,104.048842 1.365898,104.049592 1.367197))",1540198,104.050342000000000,1.365892000000000
"POLYGON ((104.054092 1.367197,104.055592 1.367197,104.056342 1.365898,104.055592 1.364599,104.054092 1.364599,104.053342 1.365898,104.054092 1.367197))",1540200,104.054841999999990,1.365892000000000
"POLYGON ((104.027092 1.374991,104.028592 1.374991,104.029342 1.373692,104.028592 1.372393,104.027092 1.372393,104.026342 1.373692,104.027092 1.374991))",1600188,104.027842000000010,1.373686000000000
"POLYGON ((104.058592 1.367197,104.060092 1.367197,104.060842 1.365898,104.060092 1.364599,104.058592 1.364599,104.057842 1.365898,104.058592 1.367197))",1540202,104.059342000000000,1.365892000000000
"POLYGON ((104.063092 1.367197,104.064592 1.367197,104.065342 1.365898,104.064592 1.364599,104.063092 1.364599,104.062342 1.365898,104.063092 1.367197))",1540204,104.063841999999990,1.365892000000000
"POLYGON ((104.067592 1.367197,104.069092 1.367197,104.069842 1.365898,104.069092 1.364599,104.067592 1.364599,104.066842 1.365898,104.067592 1.367197))",1540206,104.068342000000000,1.365892000000000
"POLYGON ((104.072092 1.367197,104.073592 1.367197,104.074342 1.365898,104.073592 1.364599,104.072092 1.364599,104.071342 1.365898,104.072092 1.367197))",1540208,104.072841999999990,1.365892000000000
"POLYGON ((104.031592 1.374991,104.033092 1.374991,104.033842 1.373692,104.033092 1.372393,104.031592 1.372393,104.030842 1.373692,104.031592 1.374991))",1600190,104.032342000000000,1.373686000000000
"POLYGON ((103.842592 1.465924,103.844092 1.465924,103.844842 1.464625,103.844092 1.463326,103.842592 1.463326,103.841842 1.464625,103.842592 1.465924))",2300106,103.843342000000010,1.464616000000010
"POLYGON ((103.700842 1.44384,103.702342 1.44384,103.703092 1.442541,103.702342 1.441242,103.700842 1.441242,103.700092 1.442541,103.700842 1.44384))",2130043,103.701592000000010,1.442533000000000
"POLYGON ((103.705342 1.44384,103.706842 1.44384,103.707592 1.442541,103.706842 1.441242,103.705342 1.441242,103.704592 1.442541,103.705342 1.44384))",2130045,103.706092000000000,1.442533000000000
"POLYGON ((103.709842 1.44384,103.711342 1.44384,103.712092 1.442541,103.711342 1.441242,103.709842 1.441242,103.709092 1.442541,103.709842 1.44384))",2130047,103.710592000000010,1.442533000000000
"POLYGON ((103.714342 1.44384,103.715842 1.44384,103.716592 1.442541,103.715842 1.441242,103.714342 1.441242,103.713592 1.442541,103.714342 1.44384))",2130049,103.715092000000000,1.442533000000000
"POLYGON ((103.718842 1.44384,103.720342 1.44384,103.721092 1.442541,103.720342 1.441242,103.718842 1.441242,103.718092 1.442541,103.718842 1.44384))",2130051,103.719592000000010,1.442533000000000
"POLYGON ((103.723342 1.44384,103.724842 1.44384,103.725592 1.442541,103.724842 1.441242,103.723342 1.441242,103.722592 1.442541,103.723342 1.44384))",2130053,103.724092000000000,1.442533000000000
